tileSize
32, 64, 128, 256, 512, 
7.52725, 6.27768, 6.2697, 6.1411, 9.19657, 
10.1918, 7.88869, 7.52224, 6.09846, 10.0434, 
6.75491, 7.21296, 6.59636, 6.45514, 9.49372, 
7.60356, 6.1675, 6.32151, 6.60346, 9.68981, 
7.79256, 6.11349, 6.01268, 6.00545, 9.19242, 
7.96415, 6.14591, 6.57222, 6.74746, 9.21885, 
7.75403, 5.96751, 6.10263, 5.87824, 8.50651, 
7.73614, 5.37455, 5.28818, 7.51681, 9.05348, 
7.61478, 6.12278, 5.71493, 5.92093, 9.8805, 
7.92666, 6.08997, 5.89993, 6.20276, 8.84112, 
7.46595, 6.0069, 5.91587, 5.46401, 9.81715, 
7.82359, 5.73328, 6.21772, 5.912, 8.644, 
8.21719, 5.41967, 6.0405, 6.41743, 8.89904, 
7.82217, 6.06404, 5.80267, 6.11814, 8.14893, 
7.11594, 6.11562, 6.70286, 6.87007, 8.20589, 
6.85482, 7.3972, 5.79714, 5.84972, 9.81196, 
7.48895, 6.43759, 5.92164, 5.80537, 8.56807, 
7.44601, 6.50787, 5.26841, 6.16673, 9.6689, 
7.63353, 6.10418, 6.08699, 5.80354, 8.40804, 
8.5093, 7.97498, 9.326, 5.52904, 10.0859, 
7.93421, 6.39728, 5.99759, 5.82817, 9.70821, 
8.19681, 5.62928, 9.37147, 6.67653, 9.76448, 
8.15554, 6.56579, 5.8597, 5.90392, 9.39419, 
7.7911, 5.3925, 7.39103, 6.19194, 10.0195, 
8.13625, 5.95412, 6.0822, 6.14814, 10.0112, 
8.65342, 6.4523, 5.96676, 6.27081, 9.1325, 
7.84121, 6.58327, 5.12668, 6.77037, 9.72241, 
8.10189, 6.28562, 5.93598, 6.6741, 9.64459, 
8.49862, 6.0043, 6.06504, 6.33739, 9.88405, 
8.67452, 7.13765, 5.76194, 6.48513, 10.6384, 
8.11622, 6.44423, 6.06756, 6.11093, 9.46037, 
7.7094, 6.01537, 5.94592, 6.16071, 8.6286, 
8.00363, 5.26802, 5.93162, 6.69194, 8.37629, 
7.95488, 5.88075, 6.12401, 6.49366, 8.90388, 
7.54274, 6.26086, 5.79277, 5.80189, 8.20518, 
8.00976, 5.23735, 7.26761, 5.80856, 8.39469, 
7.69354, 5.77438, 5.85814, 6.09747, 9.76319, 
7.64709, 5.79718, 6.11172, 5.99583, 8.07274, 
7.40588, 5.32812, 7.19924, 6.09131, 8.31464, 
7.01886, 7.02116, 5.85356, 5.9811, 9.81721, 
7.48304, 5.77883, 5.71777, 5.69787, 8.12206, 
7.86485, 6.20606, 5.13495, 6.40613, 8.43347, 
7.88191, 5.71126, 5.7441, 6.09029, 9.17549, 
7.58761, 6.13382, 6.23996, 6.27326, 8.01202, 
7.48378, 5.33377, 7.08438, 5.71442, 8.25961, 
8.0414, 5.89034, 5.75779, 5.81194, 9.33693, 
7.59565, 6.70302, 5.67242, 6.18598, 8.09438, 
7.86384, 5.1268, 5.61902, 7.58347, 8.23826, 
7.73466, 6.15524, 5.90633, 6.3373, 11.3169, 
7.66877, 5.86566, 5.68, 6.1472, 8.2232, 
7.8306874, 6.149133999999999, 6.192948799999999, 6.205472399999999, 9.128858000000001, 
