tileSize
32, 64, 128, 256, 512, 
8.09468, 6.55308, 6.5232, 6.40497, 9.44616, 
10.6138, 8.22941, 7.82851, 6.36834, 10.3013, 
7.22549, 7.81152, 6.88529, 6.74181, 9.79465, 
7.87658, 6.43455, 6.59409, 6.90892, 9.99622, 
8.06058, 6.38838, 6.28868, 6.28253, 9.45054, 
8.22091, 6.49485, 6.89021, 7.01447, 9.47575, 
8.03966, 6.27006, 6.36541, 6.11933, 8.75595, 
7.98935, 5.64696, 5.58361, 7.84227, 9.2932, 
7.90167, 6.38722, 5.97103, 6.14903, 10.1553, 
8.28831, 6.37866, 6.12691, 6.4516, 9.08534, 
7.77806, 6.3489, 6.69956, 6.06185, 10.0676, 
8.10937, 6.0122, 6.48687, 6.15881, 8.8869, 
8.473, 5.75783, 6.6619, 6.78364, 9.14763, 
8.10399, 6.33549, 6.04185, 6.37698, 8.40166, 
7.43255, 6.40178, 7.0104, 7.14326, 8.46456, 
7.11436, 7.64861, 6.04741, 6.08897, 10.0623, 
7.77642, 6.70038, 6.18836, 6.03462, 8.79368, 
7.67046, 6.78147, 5.74429, 6.43873, 9.91752, 
7.89252, 6.39164, 6.34794, 6.06205, 8.63296, 
8.935, 8.42527, 9.7776, 5.85947, 10.363, 
8.18886, 6.68216, 6.30995, 6.06839, 10.0707, 
8.57284, 5.92753, 9.74421, 6.98781, 10.1813, 
8.53028, 6.82218, 6.12141, 6.15179, 9.72022, 
8.04835, 5.70284, 7.68603, 6.51185, 10.4242, 
8.47397, 6.303, 6.34343, 6.39249, 10.3104, 
9.01607, 6.72564, 6.23694, 6.54147, 9.37598, 
8.19308, 6.8727, 5.3856, 7.32767, 10.0783, 
8.43389, 6.56042, 6.21586, 6.96426, 9.99002, 
8.89574, 6.2986, 6.3473, 6.60691, 10.2075, 
9.15462, 7.46497, 6.08498, 6.84952, 11.0475, 
8.51416, 6.73487, 6.33619, 6.43417, 9.76155, 
7.96255, 6.26106, 6.20375, 6.40358, 8.8932, 
8.40522, 5.54717, 6.25013, 7.17541, 8.63681, 
8.29937, 6.14109, 6.42563, 6.80373, 9.16004, 
7.80177, 6.52145, 6.04999, 6.06553, 8.47261, 
8.278, 5.51675, 7.53893, 6.0827, 8.65451, 
7.98542, 6.10727, 6.16198, 6.34893, 9.99613, 
7.93107, 6.04123, 6.35679, 6.24504, 8.34471, 
7.70537, 5.59591, 7.49598, 6.39614, 8.57344, 
7.28648, 7.29443, 6.1412, 6.26415, 10.1179, 
7.7584, 6.03814, 6.16445, 5.93824, 8.34, 
8.13205, 6.47221, 5.41826, 7.04751, 8.6542, 
8.13319, 5.96755, 5.97705, 6.34292, 9.43955, 
7.82774, 6.36078, 6.50386, 6.53296, 8.24522, 
7.73397, 5.59216, 7.3443, 5.94386, 8.51228, 
8.29794, 6.13131, 5.99193, 6.04291, 9.64488, 
7.83613, 7.03697, 5.94443, 6.43985, 8.32598, 
8.12858, 5.44515, 5.87412, 7.85065, 8.48513, 
8.03193, 6.41476, 6.14442, 6.59859, 11.5943, 
7.93451, 6.10055, 5.91012, 6.36497, 8.44592, 
8.1417662, 6.441582199999999, 6.495446800000001, 6.5003129999999985, 9.403934, 
