gridN
128, 256, 512, 
0.59673, 2.83025, 12.4964, 
0.521602, 2.90713, 10.5024, 
0.686597, 2.87712, 10.6964, 
0.632484, 2.63792, 9.24265, 
0.588027, 2.53165, 11.1197, 
0.539759, 2.83335, 10.7764, 
0.583763, 2.43799, 10.8521, 
0.591627, 2.65669, 10.2851, 
0.500323, 2.19794, 11.6962, 
0.463634, 2.15441, 12.1949, 
0.49029, 2.52679, 10.4011, 
0.497354, 2.70265, 11.5691, 
0.631921, 2.55376, 11.0024, 
0.487815, 2.64809, 11.3305, 
0.551454, 2.4625, 12.0796, 
0.647502, 2.1577, 11.0301, 
0.797117, 2.33715, 11.3213, 
0.456215, 2.22762, 10.0044, 
0.714255, 2.16338, 11.0035, 
0.573886, 2.07639, 11.2127, 
0.525161, 2.5735, 11.2922, 
0.599629, 2.47233, 11.1947, 
0.528367, 2.16472, 11.5094, 
0.533824, 2.60851, 12.0188, 
0.533977, 2.24795, 11.1939, 
0.563456, 2.14147, 11.501, 
0.528581, 2.14933, 11.1439, 
0.655385, 2.57847, 11.7288, 
0.50089, 2.39383, 11.1411, 
0.620696, 2.82001, 9.23901, 
0.525192, 2.1404, 10.6435, 
0.643737, 2.15322, 11.8691, 
0.608142, 1.94263, 11.0091, 
0.654742, 2.11945, 10.4592, 
0.455507, 2.09327, 9.48455, 
1.35158, 2.9254, 10.51, 
0.688823, 1.97217, 12.4637, 
0.761766, 2.10299, 11.0611, 
0.543934, 2.28784, 11.2694, 
0.763247, 2.43538, 9.64561, 
0.520011, 2.84943, 11.0072, 
0.486376, 2.81493, 10.536, 
0.51767, 3.04834, 8.8685, 
0.516243, 2.05736, 11.3782, 
0.514237, 2.32352, 11.7048, 
0.49751, 2.2945, 11.3331, 
0.595553, 2.08063, 11.4266, 
0.714448, 2.18078, 12.0059, 
0.596337, 2.05203, 10.9305, 
0.664102, 2.31908, 10.1444, 
0.5952295599999998, 2.405279, 11.0106044, 
