gridN
128, 256, 512, 
1.60002, 2.92249, 14.4786, 
0.597102, 1.93054, 9.68055, 
0.412726, 1.96147, 10.513, 
0.395898, 2.16407, 7.96268, 
0.518186, 3.37298, 10.7793, 
0.422457, 2.51904, 8.87317, 
0.367044, 2.26136, 10.5729, 
0.390666, 2.05752, 9.40674, 
0.709553, 1.74214, 11.8, 
0.48806, 2.60963, 9.24798, 
0.446787, 2.58785, 9.92017, 
0.630278, 2.55104, 6.68049, 
0.353761, 2.66071, 14.5459, 
0.437188, 2.76426, 9.4093, 
0.523172, 2.28599, 9.43655, 
0.507624, 2.59066, 9.10396, 
0.826366, 1.76977, 11.6843, 
0.704625, 2.47075, 9.25732, 
0.490564, 2.3625, 8.51415, 
0.695682, 4.4433, 10.447, 
0.423337, 2.24758, 10.1535, 
0.374354, 3.58328, 10.0332, 
0.527312, 1.97672, 11.9622, 
0.361758, 2.41212, 9.41254, 
0.482674, 2.11891, 12.7851, 
0.526949, 2.24899, 10.011, 
0.362075, 2.40289, 11.6137, 
0.677916, 1.76762, 9.27063, 
0.572153, 1.8561, 11.1186, 
0.399767, 2.12365, 11.3649, 
0.532899, 2.68857, 6.94079, 
0.367089, 1.49215, 6.25205, 
0.41672, 2.07372, 7.16938, 
0.357463, 3.26526, 13.7344, 
0.410475, 1.81892, 12.4238, 
0.638526, 2.44212, 10.8421, 
0.570608, 3.47739, 14.3528, 
1.25892, 1.91467, 13.706, 
0.392711, 5.38857, 15.1127, 
0.433554, 3.1283, 13.5807, 
0.429425, 2.62467, 14.778, 
0.428032, 3.09437, 15.3317, 
0.497021, 4.38897, 12.5091, 
0.476793, 5.0899, 13.982, 
0.826163, 3.46141, 13.7955, 
0.653544, 3.63917, 13.5317, 
0.659492, 4.25086, 13.5368, 
0.686167, 2.17687, 14.638, 
0.446606, 2.28582, 14.573, 
0.43768, 2.25899, 12.4578, 
0.5429188400000001, 2.6745326, 11.265755000000002, 
