gridN
128, 256, 512, 
0.036881, 0.147684, 0.982811, 
0.0412987, 0.188364, 1.1265, 
0.0858747, 0.138807, 1.08139, 
0.0387636, 0.160794, 1.03983, 
0.0622767, 0.171336, 1.00692, 
0.0446264, 0.197485, 1.00956, 
0.0579967, 0.194978, 1.16311, 
0.0796873, 0.264829, 1.20277, 
0.0617527, 0.286174, 1.17472, 
0.0466345, 0.345858, 1.05052, 
0.0384103, 0.332703, 1.05263, 
0.0404896, 0.246792, 1.12858, 
0.0650586, 0.32025, 1.10687, 
0.0595644, 0.321404, 0.937532, 
0.06605, 0.274355, 1.03802, 
0.0452235, 0.22466, 1.06256, 
0.0448004, 0.338784, 0.750597, 
0.0321135, 0.240301, 1.01349, 
0.0726582, 0.254044, 1.10052, 
0.0617378, 0.360563, 1.07333, 
0.0877642, 0.291767, 1.02776, 
0.070983, 0.355683, 1.02169, 
0.0416274, 0.224692, 1.18349, 
0.110842, 0.309905, 1.17601, 
0.0541755, 0.318824, 1.0179, 
0.0498359, 0.26701, 0.990459, 
0.064554, 0.329661, 0.978963, 
0.0319784, 0.31947, 0.992216, 
0.0406379, 0.226737, 1.00657, 
0.0374718, 0.279823, 1.1123, 
0.0376858, 0.321758, 1.07369, 
0.0644815, 0.304155, 1.12209, 
0.0484557, 0.365448, 1.03393, 
0.0469823, 0.298379, 1.08162, 
0.0410957, 0.295893, 1.28717, 
0.0954456, 0.2986, 1.0714, 
0.0391457, 0.298342, 0.885692, 
0.0696577, 0.236924, 1.0918, 
0.0440449, 0.224737, 1.09172, 
0.0471915, 0.303871, 1.03305, 
0.0397615, 0.31036, 1.11226, 
0.0288972, 0.186024, 1.07009, 
0.0616267, 0.310626, 1.09679, 
0.0648544, 0.293924, 0.979096, 
0.0468824, 0.321569, 0.919743, 
0.0687151, 0.238289, 0.663736, 
0.0257475, 0.178936, 0.844013, 
0.0316297, 0.212116, 0.607425, 
0.0375797, 0.161219, 0.760416, 
0.0433171, 0.203814, 0.636013, 
0.053099328, 0.26597442, 1.02142724, 
