gridN
128, 256, 512, 
0.972526, 4.48076, 20.7543, 
1.50038, 4.10804, 20.853, 
0.84804, 5.63419, 19.6612, 
0.564236, 5.79437, 16.488, 
1.0469, 5.05503, 19.6778, 
1.15083, 5.44224, 18.3952, 
1.22688, 3.88885, 21.4156, 
1.15375, 5.55454, 17.9833, 
1.0065, 5.37658, 22.1176, 
1.03376, 4.34835, 20.687, 
1.20534, 4.84147, 22.2967, 
0.82597, 5.95635, 21.2182, 
0.779711, 4.94673, 18.736, 
0.655064, 3.90819, 19.1067, 
1.21191, 5.2915, 21.0972, 
0.998593, 4.37869, 19.4916, 
0.717045, 3.88268, 17.672, 
0.929062, 5.29418, 18.738, 
0.857447, 3.51455, 25.0143, 
0.939246, 4.60378, 21.1641, 
0.691947, 4.57688, 22.0559, 
0.628108, 4.38424, 19.6681, 
1.23163, 3.65568, 20.489, 
0.915199, 4.79317, 19.649, 
0.911674, 3.69659, 22.7171, 
1.22834, 4.98077, 20.3826, 
1.37552, 6.54942, 22.684, 
1.03163, 5.52982, 17.7774, 
0.727893, 6.15451, 19.9116, 
0.674315, 3.71749, 20.0453, 
0.733699, 4.79663, 19.538, 
1.06775, 6.63027, 17.798, 
0.99639, 5.22321, 21.9176, 
1.32762, 5.43206, 20.6164, 
0.773053, 5.00513, 20.6808, 
0.727767, 3.79991, 20.8136, 
1.10698, 5.3552, 21.1205, 
1.00752, 5.34917, 18.8271, 
0.666757, 3.17589, 23.1514, 
1.06965, 3.98052, 20.7893, 
0.987155, 6.13588, 23.511, 
0.80136, 5.60282, 16.6833, 
0.637217, 4.1773, 21.6607, 
0.617587, 4.73958, 20.1148, 
0.984578, 5.24968, 20.908, 
1.22171, 3.50064, 22.1556, 
0.988075, 5.1745, 22.1061, 
0.828565, 4.72814, 21.5123, 
0.835831, 5.84313, 22.5878, 
1.19553, 5.87107, 23.4169, 
0.9522848, 4.882207400000001, 20.55714, 
