gridN
64, 128, 256, 512, 
2.44202, 9.97799, 26.3858, 92.5388, 
2.05956, 7.95153, 25.1348, 84.6388, 
2.13656, 8.07106, 23.3025, 90.4736, 
2.02951, 9.07523, 31.1167, 87.1299, 
1.72475, 7.4088, 23.6311, 90.5301, 
1.58607, 8.47988, 24.7183, 86.3565, 
2.27749, 7.69752, 23.0444, 87.5846, 
1.80144, 7.75702, 23.6258, 86.1108, 
1.70842, 10.2001, 25.7973, 90.774, 
1.87736, 7.65955, 23.6575, 92.6823, 
1.73064, 7.72475, 26.1914, 91.4783, 
1.79112, 8.17017, 24.4535, 89.8429, 
1.93591, 7.62542, 23.9299, 89.907, 
1.93655, 8.20118, 24.0716, 86.2365, 
1.8512, 7.55336, 23.5192, 86.8188, 
2.59121, 10.0326, 27.4683, 141.99, 
2.56667, 8.94394, 26.1009, 91.2429, 
2.0603, 7.50346, 30.0367, 90.9045, 
1.55547, 10.2057, 25.1011, 86.1043, 
2.08971, 7.63248, 24.5895, 99.503, 
2.5279, 7.47584, 23.5366, 86.8444, 
1.68235, 7.75397, 23.5072, 88.0379, 
1.8723, 10.069, 26.742, 88.2547, 
2.37276, 7.92836, 23.1297, 87.0077, 
2.3986, 7.86733, 23.8947, 85.9368, 
2.48094, 7.94799, 23.8067, 85.2788, 
1.85925, 8.02574, 23.4698, 86.2536, 
1.77368, 7.66942, 23.5079, 96.9495, 
1.85541, 8.04833, 24.8159, 92.5432, 
2.69344, 7.99329, 25.7257, 87.9006, 
1.75891, 7.91032, 23.3441, 86.1487, 
3.07966, 8.31322, 35.3628, 130.034, 
2.7804, 7.92441, 24.4762, 86.938, 
3.04158, 7.71747, 24.4459, 87.4836, 
2.5368, 8.02195, 23.6055, 86.7203, 
2.66756, 7.70911, 23.3835, 86.208, 
2.56059, 8.20131, 23.712, 87.2186, 
1.73949, 7.49297, 23.3288, 86.9658, 
1.93116, 7.86785, 23.082, 87.2161, 
1.89376, 7.86558, 25.8661, 86.9113, 
1.92423, 7.90304, 23.2261, 94.4631, 
1.83628, 10.2621, 24.3622, 96.7337, 
2.50341, 8.01199, 25.0701, 88.9438, 
1.68343, 7.5396, 23.3091, 93.7307, 
2.55663, 8.00545, 25.7786, 88.7923, 
1.73724, 7.70509, 24.185, 88.0875, 
2.44578, 10.9713, 28.8063, 147.433, 
2.11785, 9.69941, 25.6022, 88.9231, 
2.79934, 7.73191, 23.3345, 86.5431, 
1.72312, 7.98709, 23.5231, 87.401, 
2.1317162, 8.2698436, 24.916331999999983, 92.01501000000002, 
