iters
1, 2, 4, 8, 15, 30, 50, 75, 100, 
1.7409, 1.24767, 1.12296, 1.18607, 2.05683, 1.67188, 2.20529, 4.16247, 3.02645, 
2.35115, 1.66983, 2.05341, 1.58029, 2.52603, 2.41388, 3.20405, 3.84141, 4.25961, 
0.912724, 1.1663, 1.20417, 1.06898, 1.80497, 1.91778, 2.0665, 4.50423, 4.8142, 
1.53409, 1.14133, 1.32303, 2.48403, 2.47334, 4.06672, 2.73226, 3.57343, 3.95974, 
1.42449, 1.09214, 0.999473, 1.26511, 1.35843, 1.94064, 1.77515, 2.59382, 5.71774, 
2.01127, 1.97664, 1.29158, 1.97246, 1.52132, 4.14993, 2.52668, 2.60219, 2.99478, 
1.85295, 1.27443, 1.16056, 1.28359, 1.49926, 1.85536, 2.28676, 2.41438, 2.56596, 
0.949617, 0.97691, 0.981115, 1.0383, 1.23508, 1.66482, 1.83235, 2.57653, 2.89213, 
1.23507, 0.976712, 1.10037, 1.08077, 1.21175, 1.49395, 2.13108, 2.23551, 2.65104, 
1.18886, 0.929971, 1.18046, 1.48435, 1.6216, 1.80909, 2.13404, 2.29534, 3.02241, 
0.976608, 0.973562, 0.971114, 1.51582, 1.38648, 1.7818, 1.8841, 5.19617, 2.99845, 
1.04636, 0.932277, 3.39104, 1.50805, 1.26264, 4.97769, 4.76487, 5.0212, 2.83389, 
1.993, 2.84668, 2.87134, 3.50891, 1.32991, 1.5129, 2.40603, 5.1786, 5.28844, 
0.944789, 0.95029, 0.991863, 1.28773, 1.2185, 3.84847, 1.79694, 5.41506, 6.27793, 
2.78901, 1.11249, 2.38028, 1.72164, 1.16654, 3.28747, 2.1263, 3.70599, 6.2813, 
2.58418, 0.922268, 2.36496, 2.50166, 2.53008, 2.55758, 5.44499, 2.94104, 3.0066, 
1.96027, 1.1492, 1.03778, 1.11293, 1.15246, 2.55942, 1.788, 3.65175, 4.64396, 
0.90624, 2.41501, 1.74946, 1.25763, 1.89835, 1.49349, 3.45536, 2.31592, 5.11556, 
2.62748, 1.23138, 2.12635, 3.06715, 2.76162, 1.95918, 5.17232, 2.31792, 2.54661, 
0.965595, 1.25613, 1.11931, 1.10429, 2.15834, 2.25638, 5.00902, 2.29983, 3.82348, 
0.990521, 1.37791, 1.66019, 3.49347, 3.17846, 2.07236, 3.57518, 3.23167, 2.97991, 
1.40965, 0.964034, 0.984164, 2.0614, 1.56685, 2.47856, 1.92479, 4.20149, 2.57881, 
2.44697, 1.34609, 3.55405, 1.43217, 1.34953, 1.57325, 2.81796, 2.74905, 3.04801, 
1.04259, 2.12298, 1.00251, 1.30547, 1.47368, 4.32369, 2.77052, 3.28792, 3.58853, 
1.22833, 0.996319, 3.04932, 1.4387, 3.27498, 2.44194, 2.95534, 6.45541, 2.91168, 
1.13179, 0.921804, 2.1486, 1.06904, 2.73251, 1.71245, 1.9915, 3.61888, 4.2844, 
1.85308, 0.994403, 3.25344, 1.04268, 2.25194, 1.90357, 2.92706, 4.42179, 3.89846, 
2.24471, 1.13197, 1.17623, 1.66756, 2.10525, 2.13611, 2.05064, 2.15436, 2.8448, 
1.45308, 1.01082, 2.50383, 1.46221, 2.10893, 1.67388, 3.675, 3.78009, 3.11874, 
3.09478, 2.26071, 3.13139, 1.69236, 1.8997, 3.39292, 4.24564, 3.8607, 2.95056, 
1.35792, 1.48069, 1.13126, 1.27314, 1.2706, 2.44907, 5.43172, 2.26596, 2.64165, 
1.65288, 1.30651, 1.6077, 1.69944, 1.36148, 3.01672, 3.35329, 3.96115, 4.57888, 
1.68439, 1.13614, 1.77279, 2.8684, 2.51614, 1.69983, 2.25648, 2.35596, 3.3751, 
1.89692, 1.19872, 2.33245, 1.41148, 1.64362, 3.23783, 3.30489, 4.17331, 4.15334, 
1.26934, 1.33864, 1.86623, 2.02651, 1.20085, 2.25026, 4.50141, 3.0151, 2.98902, 
1.24912, 1.63063, 1.84642, 3.35625, 1.84315, 3.89872, 3.50773, 3.60846, 4.61817, 
1.67059, 1.42398, 1.11115, 2.77373, 1.51054, 2.61413, 2.40093, 2.99596, 3.82862, 
1.12155, 1.07038, 1.18634, 1.26161, 1.50466, 1.67303, 1.81346, 2.22248, 2.53489, 
0.927067, 1.05173, 2.36887, 1.12191, 1.37514, 1.52155, 2.47667, 2.69766, 2.91072, 
1.12163, 0.950289, 0.986368, 1.09111, 1.16979, 1.56085, 1.7532, 2.24929, 2.71206, 
1.12474, 1.24973, 1.01887, 1.25707, 2.01875, 1.85641, 2.51526, 2.49685, 2.76906, 
1.09931, 0.953632, 1.0488, 3.32072, 1.38937, 1.54497, 1.85576, 2.5162, 2.65056, 
3.66039, 1.16647, 4.02502, 3.25336, 1.33366, 2.56684, 4.57658, 4.70796, 2.6012, 
2.31329, 2.87112, 3.69392, 2.82953, 3.36787, 3.01506, 5.06848, 2.19641, 3.10849, 
3.24693, 2.20184, 1.51005, 1.05615, 2.98372, 1.92211, 4.46172, 4.36065, 2.55174, 
3.23617, 2.08586, 3.11222, 3.26435, 1.60471, 3.91136, 2.85945, 2.25374, 4.62814, 
0.990344, 1.88581, 1.26576, 1.15894, 2.43871, 1.96857, 1.96449, 5.03691, 5.04876, 
1.19261, 1.21635, 1.24135, 1.76767, 2.09781, 2.10573, 2.169, 2.37317, 2.56875, 
2.89866, 3.44103, 0.970748, 2.53821, 1.17789, 1.46639, 5.20805, 2.2409, 3.62545, 
1.11458, 0.943669, 2.69555, 2.5374, 3.8504, 1.78297, 3.38109, 2.1672, 3.6817, 
1.6743717000000005, 1.3994296, 1.8135243, 1.831236, 1.8754844, 2.379791200000001, 3.0107076000000013, 3.3299894000000005, 3.5700096, 
