iters
1, 2, 4, 8, 15, 30, 50, 75, 100, 
2.15154, 4.57911, 2.4321, 4.07211, 6.28654, 4.09828, 7.07374, 5.90563, 5.25738, 
2.90358, 2.23944, 2.31643, 1.77015, 2.35208, 3.5305, 3.9393, 4.96338, 4.70524, 
4.1503, 4.69004, 3.61986, 3.85897, 5.02931, 5.79816, 3.41249, 5.7409, 5.22075, 
3.43998, 2.40524, 2.2689, 1.94014, 1.91533, 3.93327, 4.67438, 5.49498, 7.6659, 
3.94688, 3.39422, 2.98734, 4.46386, 4.67055, 4.61819, 4.98906, 4.36861, 5.37818, 
3.07633, 2.31818, 2.08854, 1.82019, 2.38752, 2.8054, 6.15202, 7.29211, 3.61406, 
2.2452, 5.32923, 3.94886, 3.19509, 3.32764, 5.63115, 4.4628, 6.57324, 5.04117, 
2.50463, 2.25379, 4.82798, 2.34787, 2.14517, 4.37352, 2.61228, 4.43734, 3.85699, 
4.47454, 4.2909, 3.51184, 3.39107, 5.63332, 5.97369, 5.19641, 6.75279, 6.41182, 
3.74731, 3.71882, 2.51811, 4.34855, 5.38604, 3.11738, 2.66297, 6.28667, 4.34449, 
1.73251, 2.30661, 5.65789, 3.03838, 4.39762, 5.16359, 5.60491, 5.3322, 5.25362, 
2.84751, 2.33112, 3.73364, 2.8234, 3.90894, 2.79761, 2.97628, 4.7981, 6.81796, 
3.14401, 4.33592, 3.89147, 2.35608, 4.26714, 4.47048, 5.48916, 5.77321, 5.41219, 
2.43905, 2.43153, 3.80712, 2.29214, 2.65053, 2.58573, 4.28577, 6.32281, 6.03266, 
1.82437, 2.86308, 3.36826, 5.54862, 4.18256, 5.62085, 4.82393, 4.94377, 4.96421, 
2.57539, 2.66756, 1.90713, 1.80494, 2.88237, 2.53524, 4.84748, 5.44125, 7.67459, 
4.33904, 2.44579, 4.4245, 3.25591, 3.47623, 4.07737, 5.29588, 4.83668, 5.38765, 
3.01546, 2.64453, 2.77067, 2.62489, 2.54233, 2.3072, 3.11748, 6.11783, 4.94956, 
2.05158, 5.44384, 4.2963, 4.62292, 3.23153, 4.72308, 6.89076, 4.69892, 6.15787, 
3.11797, 2.21271, 3.03438, 1.73571, 2.74609, 4.97501, 3.20415, 4.85051, 5.71095, 
2.03501, 4.15434, 3.3074, 3.29652, 5.06849, 4.18211, 5.54207, 5.77962, 5.52606, 
3.51342, 2.40988, 4.04737, 3.30954, 3.48373, 4.16873, 3.00884, 5.95962, 5.39194, 
1.93733, 2.00074, 1.97795, 2.99228, 6.46484, 5.35645, 6.55973, 5.15668, 8.67831, 
3.24057, 1.63969, 10.3587, 2.43776, 10.7482, 6.75447, 5.02237, 4.83747, 5.05818, 
9.93637, 8.72856, 5.89527, 9.18422, 9.63809, 12.9086, 10.3392, 219.663, 50.5022, 
