iters
1, 2, 4, 8, 15, 30, 50, 75, 100, 
4.14125, 2.7714, 1.60109, 2.58739, 3.92349, 4.19137, 4.54458, 3.98768, 5.15342, 
2.56015, 2.8767, 3.20876, 3.00617, 3.88509, 2.79205, 6.16593, 6.12299, 7.63919, 
3.31817, 3.3174, 4.1062, 4.00948, 3.60221, 4.61074, 5.45085, 4.86407, 7.61789, 
3.36102, 3.13511, 3.72887, 3.32583, 3.71639, 2.75572, 4.9631, 4.87107, 5.23483, 
2.38108, 1.92343, 3.28391, 1.83852, 3.28652, 3.78088, 5.99752, 4.22687, 5.13967, 
2.9137, 2.28539, 3.68646, 3.34248, 3.67602, 3.08133, 4.32076, 4.33942, 5.42176, 
1.93914, 2.17361, 2.03288, 2.01913, 2.14026, 2.51595, 2.92569, 4.81506, 3.77575, 
2.83796, 2.82376, 3.31043, 2.85517, 2.41069, 3.77519, 8.37269, 4.3517, 5.47833, 
3.3936, 3.8584, 2.5064, 2.95736, 2.97282, 6.15692, 5.28566, 4.78355, 5.83575, 
2.54415, 2.04597, 4.14132, 2.09413, 2.55546, 3.10323, 7.24059, 7.09731, 6.7461, 
2.15226, 3.662, 2.64474, 1.93338, 2.21242, 2.46922, 3.76947, 4.03424, 4.91153, 
5.20353, 3.21448, 3.05481, 6.28453, 3.41479, 5.25338, 4.55623, 4.60731, 5.05864, 
3.1704, 2.14653, 2.73715, 2.25502, 3.17797, 5.25171, 6.39353, 5.64142, 5.05137, 
2.14292, 1.8635, 4.12576, 3.15491, 3.1006, 2.81401, 2.72246, 3.13201, 5.14815, 
2.92841, 3.92232, 1.68506, 3.43438, 4.7691, 4.58238, 3.49256, 3.35769, 5.76668, 
3.38716, 1.72499, 4.51669, 1.53555, 2.75572, 3.48612, 3.91791, 4.07693, 5.81511, 
2.14215, 1.54195, 2.61909, 3.21365, 2.83796, 3.36481, 2.99238, 6.48155, 4.89936, 
1.57619, 1.73376, 3.20898, 3.5579, 4.39984, 2.94595, 3.4422, 4.32378, 4.68041, 
1.39162, 2.0643, 2.04274, 1.84918, 1.82684, 4.74209, 3.41785, 4.52642, 4.30152, 
2.50903, 1.66703, 3.39101, 2.89805, 3.21744, 1.84696, 3.01359, 2.91098, 4.16812, 
2.81093, 1.37463, 2.7154, 2.81719, 1.95824, 2.73668, 3.27463, 4.10036, 5.42839, 
2.52552, 1.55383, 3.49619, 2.59028, 3.30848, 3.16475, 3.15539, 2.80624, 3.06036, 
3.48359, 3.05325, 1.39432, 3.91134, 2.25039, 3.75572, 3.13848, 3.80535, 3.41347, 
1.85869, 2.49307, 2.26617, 3.42258, 2.42028, 3.69826, 3.42706, 4.04395, 4.61005, 
1.27092, 3.07236, 1.78975, 1.79169, 2.33066, 4.02262, 5.22331, 4.18428, 3.81575, 
2.18839, 1.93045, 3.54047, 1.46068, 2.15271, 4.36597, 2.72072, 5.91517, 4.15991, 
2.2889, 1.42506, 3.41606, 1.35422, 2.93131, 3.40624, 3.80752, 3.13432, 5.54325, 
2.05371, 1.72425, 2.77628, 2.73007, 1.67281, 2.18633, 3.1025, 3.47426, 4.05505, 
2.71676, 1.92618, 2.81552, 2.66108, 2.35295, 2.21044, 3.26876, 3.89703, 5.16677, 
2.80776, 2.15762, 2.61649, 2.59703, 2.65426, 3.22725, 2.43994, 6.10044, 4.51104, 
1.86843, 2.42819, 1.9056, 2.24874, 2.35874, 3.86175, 4.11552, 3.6668, 4.81599, 
1.88369, 1.87743, 2.33158, 2.66138, 2.45102, 3.05271, 2.64208, 3.88253, 4.48684, 
2.52489, 4.22595, 1.97049, 1.80903, 2.22881, 3.68025, 3.61498, 4.51848, 4.5145, 
2.46849, 1.52151, 3.39671, 1.53682, 1.62228, 2.74094, 4.33424, 4.73749, 4.12313, 
2.8922, 1.41644, 1.44695, 1.50228, 1.68846, 6.74791, 5.43702, 4.23539, 4.33583, 
1.4977, 3.21096, 2.13745, 3.59728, 2.86672, 3.2516, 3.23735, 3.97623, 4.46072, 
1.5739, 3.2672, 2.02314, 1.55669, 3.61564, 5.50926, 3.20158, 3.93148, 3.5765, 
5.11721, 1.72699, 2.84978, 2.03742, 2.36428, 3.2376, 4.1045, 2.76702, 3.75363, 
2.07976, 2.47053, 2.23809, 3.22323, 2.75359, 2.42748, 3.72694, 4.2812, 4.53026, 
2.34529, 1.41724, 3.50118, 2.60402, 2.87445, 3.44174, 2.31546, 3.26937, 5.80867, 
3.62918, 2.04666, 3.11427, 2.92463, 2.22236, 3.36089, 3.84867, 3.72581, 3.88478, 
2.70048, 1.65744, 3.55933, 2.60317, 2.89561, 3.40947, 2.53309, 4.71582, 4.98235, 
1.49146, 2.96521, 2.76918, 2.96612, 2.82083, 3.09296, 4.05508, 3.44377, 5.49257, 
2.30317, 2.56558, 2.5635, 2.69542, 3.2416, 3.33651, 3.68409, 4.23292, 4.56343, 
1.9169, 1.80129, 3.79146, 2.23631, 1.73494, 1.88838, 2.42946, 2.79965, 3.86861, 
2.04498, 1.38984, 3.03085, 4.25389, 1.76278, 4.21524, 5.54873, 4.11627, 4.98773, 
2.60484, 1.75202, 2.99983, 3.10113, 1.72283, 2.24616, 4.63231, 4.18976, 5.05685, 
2.24067, 2.06241, 2.95606, 2.20415, 3.45246, 3.26637, 4.44715, 3.87095, 4.03245, 
2.43747, 2.46593, 2.47567, 2.35804, 2.788, 3.2543, 3.56457, 4.32291, 4.87192, 
1.69258, 1.5282, 2.0557, 2.80844, 1.69074, 2.0042, 3.07406, 7.01729, 5.11219, 
2.5462469999999997, 2.305195, 2.8315164000000004, 2.6883311999999995, 2.7413972, 3.486399800000001, 4.0218148, 4.314291800000001, 4.8573314, 
