gridN
128, 256, 512, 
0.0133492, 0.0530623, 0.204753, 
0.0161244, 0.0504822, 0.202893, 
0.0123988, 0.0513956, 0.206822, 
0.0121315, 0.0497217, 0.200534, 
0.0113022, 0.0503972, 0.199071, 
0.0116739, 0.0485451, 0.198112, 
0.0114073, 0.0492156, 0.196877, 
0.0116224, 0.0488236, 0.19946, 
0.0126595, 0.0523173, 0.194687, 
0.0114384, 0.0513126, 0.202194, 
0.0127791, 0.0508714, 0.196259, 
0.0115658, 0.0477888, 0.197075, 
0.0117916, 0.0484181, 0.199305, 
0.0110406, 0.0528758, 0.206467, 
0.0113559, 0.0490636, 0.206558, 
0.0111769, 0.0493097, 0.201186, 
0.0113856, 0.0500026, 0.19838, 
0.0115946, 0.0508407, 0.197614, 
0.0120522, 0.0488215, 0.20778, 
0.0117447, 0.0503984, 0.198774, 
0.0112553, 0.0535468, 0.201189, 
0.0152388, 0.0501864, 0.205966, 
0.0116373, 0.0482717, 0.198573, 
0.0118358, 0.048862, 0.196762, 
0.0114186, 0.0495843, 0.195982, 
0.0112178, 0.0505613, 0.191735, 
0.0115382, 0.0541134, 0.194361, 
0.01314, 0.0489445, 0.195061, 
0.0112011, 0.0502672, 0.200565, 
0.0114131, 0.049242, 0.198411, 
0.0117184, 0.0498469, 0.198863, 
0.011714, 0.0618656, 0.199922, 
0.0112949, 0.0486372, 0.195912, 
0.0115789, 0.0489099, 0.20487, 
0.0132255, 0.0586433, 0.199792, 
0.0121441, 0.0537459, 0.192757, 
0.013693, 0.0500205, 0.19616, 
0.0130094, 0.0564456, 0.197583, 
0.0114994, 0.0493462, 0.199505, 
0.0113462, 0.0499886, 0.1977, 
0.0113265, 0.0481207, 0.199764, 
0.0117918, 0.0500799, 0.198239, 
0.0113123, 0.0510034, 0.197071, 
0.0117373, 0.0493493, 0.198065, 
0.0125681, 0.0498973, 0.195093, 
0.0119287, 0.0502828, 0.195788, 
0.0111475, 0.0543046, 0.195858, 
0.0123152, 0.0498525, 0.201296, 
0.0121092, 0.050004, 0.196527, 
0.0116498, 0.0509864, 0.197389, 
0.011992016000000003, 0.05077148, 0.1990311999999999, 
