tileSize
8, 16, 32, 64, 128, 256, 512, 
0.995591, 1.13832, 1.08011, 1.02345, 1.03307, 1.191, 1.6195, 
0.992784, 1.09015, 1.01366, 1.14749, 1.00261, 1.08958, 1.44393, 
1.12344, 1.14045, 1.02729, 1.09776, 1.27204, 1.34001, 1.67213, 
1.07025, 1.15748, 1.10629, 1.11585, 1.0697, 1.24166, 1.75344, 
1.23366, 1.03958, 1.17251, 1.09084, 0.96677, 1.2082, 1.62925, 
1.23632, 1.17846, 1.0589, 1.2542, 1.08685, 1.23403, 1.60993, 
1.08657, 1.10025, 1.02505, 1.07035, 1.10851, 1.22938, 1.52228, 
1.13698, 1.09209, 1.04486, 1.00596, 0.973284, 1.19552, 1.56569, 
1.06013, 0.978246, 1.03477, 0.984848, 1.0189, 1.17664, 1.45406, 
0.972537, 1.03536, 1.06721, 1.05543, 1.20881, 1.25638, 1.91285, 
1.0908262, 1.0950386, 1.063065, 1.0846177999999997, 1.0740544, 1.2162399999999998, 1.618306, 
