tileSize
8, 16, 32, 64, 128, 256, 512, 
59.7355, 68.2991, 64.8063, 61.4072, 61.9842, 71.4601, 97.1701, 
59.5671, 65.409, 60.8193, 68.8495, 60.1563, 65.375, 86.6356, 
67.4063, 68.4273, 61.6376, 65.8657, 76.3227, 80.4009, 100.328, 
64.2152, 69.4488, 66.3777, 66.9509, 64.1819, 74.4996, 105.207, 
74.0194, 62.375, 70.3506, 65.4507, 58.0062, 72.4919, 97.7552, 
74.1795, 70.7076, 63.5338, 75.2522, 65.2113, 74.0416, 96.5958, 
65.1941, 66.0151, 61.5032, 64.2209, 66.5106, 73.763, 91.3367, 
68.2188, 65.5254, 62.6917, 60.3575, 58.3971, 71.7311, 93.9416, 
63.608, 58.6948, 62.0862, 59.0909, 61.134, 70.5983, 87.2438, 
58.3522, 62.1215, 64.0325, 63.3258, 72.5288, 75.3831, 114.771, 
65.44961, 65.70236, 63.78389, 65.07713, 64.44331000000001, 72.97446, 97.09847999999998, 
