tileSize
8, 16, 32, 64, 128, 256, 512, 
67.8192, 79.2254, 73.0826, 69.1631, 71.6598, 81.5075, 105.076, 
68.8835, 73.5628, 68.4589, 78.4442, 67.7757, 73.2631, 94.3884, 
81.9185, 77.0278, 71.9827, 76.8488, 85.7902, 89.6431, 109.397, 
76.1892, 78.4989, 75.2587, 75.2998, 76.1243, 84.2941, 116.982, 
84.0744, 71.8003, 80.6267, 73.3012, 66.0982, 80.3952, 106.699, 
82.7385, 80.496, 76.9137, 84.5232, 74.8056, 81.8254, 104.909, 
76.4408, 76.3739, 70.199, 72.2127, 74.8404, 81.1199, 100.635, 
78.2824, 74.3074, 72.7352, 70.4129, 66.1585, 81.4539, 103.012, 
74.0345, 66.3407, 71.6952, 68.6514, 69.2062, 79.6091, 95.308, 
68.6713, 72.968, 73.9438, 73.4666, 86.3788, 87.4858, 126.152, 
75.90522999999999, 75.06012, 73.48965, 74.23239, 73.88377, 82.05971000000001, 106.25583999999999, 
