tileSize
8, 16, 32, 64, 128, 256, 512, 
8.01121, 10.8443, 8.16418, 7.66152, 9.59709, 9.95015, 7.80992, 
9.22859, 8.07319, 7.56683, 9.49971, 7.52211, 7.79665, 7.66485, 
14.4293, 8.41572, 10.2373, 10.8901, 9.38735, 9.11529, 8.97455, 
11.8743, 8.95856, 8.79209, 8.27811, 11.8512, 9.70816, 11.6916, 
9.90934, 9.3448, 10.165, 7.75064, 7.92658, 7.76254, 8.82839, 
8.37165, 9.70387, 13.2909, 9.16856, 9.50452, 7.67958, 8.19897, 
11.0495, 10.2648, 8.58565, 7.91245, 8.21069, 7.20382, 9.23195, 
9.96829, 8.69438, 9.90383, 9.95161, 7.66029, 9.57277, 8.95069, 
10.339, 7.56557, 9.52359, 9.47981, 7.96893, 8.89088, 7.97238, 
10.2049, 10.7486, 9.81514, 10.0591, 13.7215, 12.0069, 11.2726, 
10.338607999999999, 9.261378999999998, 9.604451000000001, 9.065161, 9.335026000000001, 8.968674, 9.059589999999998, 
